# Global Largest Banks Ranking (by Total Assets, USD bn)

| Rank | Bank | Headquarters Country | Total Assets (USD bn) | Notes |
|---:|---|---|---:|---|
| 1 | Industrial and Commercial Bank of China (ICBC) | China | 6300 | State-owned commercial bank |
| 2 | China Construction Bank (CCB) | China | 5800 | Major lender, infrastructure focus |
| 3 | Agricultural Bank of China (ABC) | China | 5400 | Large retail & rural footprint |
| 4 | Bank of China (BOC) | China | 5200 | Strong international network |
| 5 | JPMorgan Chase & Co. | United States | 4000 | Largest U.S. bank by assets |
| 6 | Mitsubishi UFJ Financial Group (MUFG) | Japan | 3300 | Japan’s biggest banking group |
| 7 | HSBC Holdings | United Kingdom | 3000 | Global universal bank |
| 8 | BNP Paribas | France | 2900 | Major EU banking group |
| 9 | Crédit Agricole Group | France | 2700 | Cooperative banking group |
| 10 | Bank of America | United States | 2600 | Large U.S. retail & corporate bank |
