# Metric Tap Drill Lookup Table (mm) — Quick Reference by Thread Size × Pitch

| Thread designation | Tap drill diameter (mm) | Typical use |
|---|---:|---|
| M2 × 0.4 | 1.6 | Small fasteners |
| M2.5 × 0.45 | 2.05 | Electronics / light duty |
| M3 × 0.5 | 2.5 | General |
| M4 × 0.7 | 3.3 | General |
| M5 × 0.8 | 4.2 | General |
| M6 × 1.0 | 5.0 | General |
| M7 × 1.0 | 6.0 | Less common |
| M8 × 1.25 | 6.8 | General |
| M9 × 1.25 | 7.8 | Less common |
| M10 × 1.0 | 9.0 | Fine pitch |
| M10 × 1.5 | 8.5 | Coarse pitch |
| M14 × 2.0 | 12.0 | Larger bolts |
