# UK Home Office – Proscribed Terrorist Organisations (sample of entries)

| Date Proscribed | Organisation (as listed) | Common Aliases / Notes |
| --- | --- | --- |
| 29 Mar 2001 | Al-Qaida | Includes related networks operating under the Al-Qaida name |
| 30 Mar 2001 | Egyptian Islamic Jihad | Sometimes abbreviated as EIJ |
| 28 Feb 2001 | Hamas – Izz al-Din al-Qassam Brigades | Proscription applies to the military wing |
| 27 Nov 2001 | Lashkar-e-Tayyiba | Often written as LeT |
| 14 Oct 2005 | Hizballah Military Wing | Proscription limited to the military wing (as stated in list) |
| 22 Jun 2012 | Boko Haram | Nigerian jihadist organisation |
| 25 Nov 2016 | Islamic State | Listed under multiple formulations including ISIL/Daesh |
| 17 Jan 2020 | Hizballah | Proscription extended to whole organisation |
| 26 Nov 2021 | Hamas | Listed as entire organisation (per updated entry wording) |
