# Masters Football
> National Masters

| Year | Champion | Runner-up | Grand Final venue | Golden Boot winner(s) |
| --- | --- | --- | --- | --- |
| 2000 | Nottingham Forest | Rangers | National Ice Centre ( Nottingham ) | Ally McCoist ( Rangers ) |
| 2001 | Liverpool | Bradford City | ?? | John Taylor ( Bradford City ) |
| 2002 | Liverpool | Newcastle United | ?? | Peter Beardsley ( Newcastle United ) |
| 2003 | Manchester City | Rangers | ?? | Peter Beardsley ( Newcastle United ) |
| 2004 | Chelsea | Wolverhampton Wanderers | ?? | John Durnin ( Liverpool ) |
| 2005 | Leicester City | Chelsea | ?? | Paul Moran ( Tottenham Hotspur ) |
| 2006 | Rangers | Chelsea | National Indoor Arena ( Birmingham ) | John Durnin ( Liverpool ) |
| 2007 | Leicester City | Wolverhampton Wanderers | M.E.N. Arena ( Manchester ) | Owen Coyle ( Motherwell ) |
| 2008 | Wolverhampton Wanderers | Manchester City | LG Arena ( Birmingham ) | Craig Hignett ( Middlesbrough ) |
| 2009 | Tranmere Rovers | Bolton Wanderers | Echo Arena Liverpool ( Liverpool ) | Carbone / Goodman / Hignett |
| 2010 | Birmingham City | Tranmere Rovers | LG Arena ( Birmingham ) | Graham Stuart ( Everton ) |
| 2011 | Rangers | Leeds United | M.E.N. Arena ( Manchester ) | Darren Huckerby ( Leeds United ) |
