# Adobe Fonts and Type Families Included with Subscriptions

| Typeface / Family | Foundry / Designer | Styles included | How accessed | Subscription tie-in |
| --- | --- | --- | --- | --- |
| Adobe Garamond Pro | Robert Slimbach | Regular/Italic/Bold | Adobe Fonts sync | Creative Cloud |
| Adobe Jenson Pro | Robert Slimbach | Caption/Text/Display cuts | Adobe Fonts sync | Creative Cloud |
| Minion Pro | Robert Slimbach | Multiple weights | Adobe Fonts sync | Creative Cloud |
| Myriad Pro | Carol Twombly et al. | Multiple weights | Adobe Fonts sync | Creative Cloud |
| Source Sans 3 | Adobe | Variable + static | Adobe Fonts web | Free + Creative Cloud |
| Source Serif 4 | Adobe | Variable + static | Adobe Fonts web | Free + Creative Cloud |
| Source Code Pro | Adobe | Multiple weights | Adobe Fonts web | Free + Creative Cloud |
| Trajan Pro 3 | Carol Twombly | Display styles | Adobe Fonts sync | Creative Cloud |
| Helvetica Neue (licensing dependent) | Monotype | Selected styles | Adobe Fonts (varies) | Creative Cloud |
| Noto Sans (Google) | Google | Large language coverage | Adobe Fonts web | Free + Creative Cloud |
