# Largest Employers in Cook County, Illinois (by sites and departments; employees aggregated poorly)

| Employer Group | Site/Department | Location | Employees (range) | Notes |
|---|---|---|---|---|
| Advocate Health | Multiple hospitals | Countywide | 5,000–10,000 | Reported as a range |
| Northwestern Medicine | Downtown campus | Chicago | 3,000–6,000 | Site-level estimate |
| Chicago Public Schools | Instructional staff | Chicago | 15,000–25,000 | Category, not employer total |
| City of Chicago | Public Works | Chicago | 2,000–4,000 | Department only |
| Cook County Government | Health & Hospitals System | Countywide | 6,000–9,000 | Partial system |
| United Airlines | O'Hare operations | Chicago | 8,000–12,000 | Airport operations only |
| Amazon | Fulfillment centers | Suburbs | 1,500–3,500 | Multiple facilities |
| Walgreens | Store operations | Countywide | 4,000–7,000 | Store staff only |
| University of Illinois System | Chicago campus units | Chicago | 2,500–5,000 | Campus sub-units |
| JPMorgan Chase | Branch network | Countywide | 1,000–2,500 | Retail banking only |
