# Competitive Tier List Snapshot (Super Smash Bros. Ultimate) — Rankings, Scores, and Tiers

| Rank | Fighter | Tier | Rating (0–100) | Notes |
|---:|---|:---:|---:|---|
| 1 | Steve | S+ | 98.5 | Dominant toolkit, high conversion off openings |
| 2 | Sonic | S | 96.8 | Exceptional mobility and stalling options |
| 3 | Joker | S | 95.9 | Arsene swing factor; strong neutral |
| 4 | Pyra/Mythra | S | 95.1 | Mythra speed + Pyra kill power |
| 5 | Pikachu | S | 94.3 | Edgeguarding and low-profile pressure |
| 6 | Palutena | A+ | 92.0 | Reliable neutral, strong anti-air coverage |
| 7 | Wolf | A+ | 91.4 | Consistent fundamentals; strong punish game |
| 8 | Roy | A+ | 90.9 | Explosive close-range damage and kill confirms |
| 9 | R.O.B. | A+ | 90.3 | Gyro setups and ledgetrap strength |
| 10 | Snake | A | 88.7 | Trap-based control and survivability |
| 11 | Lucina | A | 87.9 | Spacing consistency, safe pressure |
| 12 | Fox | A | 87.1 | High-tempo advantage state, fragile defense |
