# List of LGBT characters in film
> H

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Hal | Beginners | Gay | Film |
| Marc Hall | The Bling Ring | Gay | Film |
| Maurice Hall | Maurice | Gay | Film |
| Hana | Tokyo Godfathers | Transgender | Film/Anime |
| Mitsurugi Hanagata | Saber Marionette J / Saber Marionette J Again / Saber Marionette J to X | Gay | Anime |
| George Hanson | The Object of My Affection | Gay | Film |
| Paul Harmon | Flirting with Disaster | Gay | Film |
| Holiday Heart | Holiday Heart | Gay | Film |
| Douglas Hector | The History Boys | Gay | Film/Theatre |
| Alistair Hennessey | The Life Aquatic with Steve Zissou | Bisexual | Film |
| Harry | Camping Cosmos | Gay | Film |
| Lionel Higgins | Dear White People | Gay | Film |
| Arno Hintjens | Camping Cosmos | Gay | Film |
| Hooper X | Chasing Amy ; Jay and Silent Bob Strike Back | Gay | Film |
| J. Edgar Hoover | J. Edgar | Gay | Film |
| Steve Howard | Jeffrey | Gay | Film |
| Huma Rojo | All About My Mother (Todo sobre mi madre) | Lesbian | Film |
| Eric Hunter | Edge of Seventeen | Gay | Film |
