# Leaders of Major Canadian Federal Political Parties (selected, post-1960)

| Party | Leader (person) | Role/Title | Started Leading | Ended Leading | Notes |
| --- | --- | --- | --- | --- | --- |
| Liberal Party of Canada | Lester B. Pearson | Party Leader / Prime Minister | 1961-01 | 1968-04 | Led Liberals to government in the 1960s |
| Liberal Party of Canada | Pierre Elliott Trudeau | Party Leader / Prime Minister | 1968-04 | 1984-06 | Served two periods as PM |
| Liberal Party of Canada | Jean Chrétien | Party Leader / Prime Minister | 1990-06 | 2003-12 | Won three majority governments |
| Liberal Party of Canada | Paul Martin | Party Leader / Prime Minister | 2003-11 | 2006-03 | Took office after Chrétien |
| Liberal Party of Canada | Stéphane Dion | Party Leader | 2006-12 | 2008-12 | Leader in opposition |
| Liberal Party of Canada | Michael Ignatieff | Party Leader | 2008-12 | 2011-05 | Led party through 2011 election |
| Conservative Party of Canada | Stephen Harper | Party Leader / Prime Minister | 2004-03 | 2015-10 | First leader after party merger era |
| Conservative Party of Canada | Andrew Scheer | Party Leader | 2017-05 | 2020-02 | Led Conservatives in 2019 election |
| Conservative Party of Canada | Erin O'Toole | Party Leader | 2020-08 | 2022-02 | Led party in 2021 election |
| New Democratic Party (NDP) | Tommy Douglas | Party Leader | 1961-08 | 1971-04 | First federal NDP leader |
| New Democratic Party (NDP) | Ed Broadbent | Party Leader | 1975-07 | 1989-08 | Long-serving NDP leader |
| New Democratic Party (NDP) | Jack Layton | Party Leader | 2003-01 | 2011-08 | Led NDP to Official Opposition in 2011 |
| Bloc Québécois | Gilles Duceppe | Party Leader | 1997-03 | 2011-05 | Prominent Bloc leader in Parliament |
| Green Party of Canada | Elizabeth May | Party Leader | 2006-08 | 2019-11 | First Green MP elected under her leadership |
