# United States Box Office Records — Biggest Domestic Opening Weekends (3-Day)

| Rank | Film | Distributor | Weekend Dates (U.S.) | Domestic Opening Weekend Gross (USD) |
|---:|---|---|---|---:|
| 1 | Avengers: Endgame | Walt Disney Studios Motion Pictures | Apr 26–28, 2019 | 357,115,007 |
| 2 | Spider-Man: No Way Home | Sony Pictures Releasing | Dec 17–19, 2021 | 260,138,569 |
| 3 | Avengers: Infinity War | Walt Disney Studios Motion Pictures | Apr 27–29, 2018 | 257,698,183 |
| 4 | Star Wars: The Force Awakens | Walt Disney Studios Motion Pictures | Dec 18–20, 2015 | 247,966,675 |
| 5 | Star Wars: The Last Jedi | Walt Disney Studios Motion Pictures | Dec 15–17, 2017 | 220,009,584 |
| 6 | Jurassic World | Universal Pictures | Jun 12–14, 2015 | 208,806,270 |
| 7 | The Avengers | Walt Disney Studios Motion Pictures | May 4–6, 2012 | 207,438,708 |
| 8 | Black Panther | Walt Disney Studios Motion Pictures | Feb 16–18, 2018 | 202,003,951 |
| 9 | Harry Potter and the Deathly Hallows – Part 2 | Warner Bros. Pictures | Jul 15–17, 2011 | 169,189,427 |
