# Trace and Minor Elements in the Earth's Crust (ppm by mass)

| Element | Symbol | Typical crustal abundance (ppm) | Category |
|---|---|---:|---|
| Carbon | C | 200 | Minor |
| Sulfur | S | 260 | Minor |
| Chlorine | Cl | 170 | Minor |
| Fluorine | F | 600 | Minor |
| Chromium | Cr | 100 | Trace |
| Nickel | Ni | 75 | Trace |
| Copper | Cu | 60 | Trace |
| Zinc | Zn | 70 | Trace |
| Lead | Pb | 14 | Trace |
| Uranium | U | 2.7 | Trace |
| Thorium | Th | 10.5 | Trace |
| Rare earths (sum) | REE | 170 | Trace (grouped) |
