# National Football League Rookie of the Year Award
> Pro Football Weekly / Pro Football Writers of America NFL ROTY Award

| Season | Player | Team | Position |
| --- | --- | --- | --- |
| 1969 | Greene ! Joe Greene (NFL) | Pittsburgh Steelers | Defensive tackle |
| 1969 | Marsalis, Jim Jim Marsalis (AFL) | Kansas City Chiefs | Cornerback |
| 1970 | Taylor ! Bruce Taylor | San Francisco 49ers | Cornerback |
| 1971 | Robertson ! Isiah Robertson | Los Angeles Rams | Linebacker |
| 1972 | White ! Sherman White | Cincinnati Bengals | Defensive end |
| 1973 | Chambers ! Wally Chambers | Chicago Bears | Defensive tackle |
| 1974 | Lambert ! Jack Lambert | Pittsburgh Steelers | Linebacker |
| 1975 | Brazile ! Robert Brazile | Houston Oilers | Linebacker |
| 1976 | Haynes ! Mike Haynes | New England Patriots | Cornerback |
| 1977 | Duhe ! A.J. Duhe | Miami Dolphins | Defensive end |
| 1978 | Baker ! Al Baker | Detroit Lions | Defensive end |
| 1979 | Baker ! Jesse Baker | Houston Oilers | Defensive end |
| 1980 | Curry ! Buddy Curry | Atlanta Falcons | Linebacker |
| 1981 | Taylor ! Lawrence Taylor | New York Giants | Linebacker |
| 1982 | Banks ! Chip Banks | Cleveland Browns | Linebacker |
| 1983 | Maxwell ! Vernon Leroy Maxwell | Baltimore Colts | Linebacker |
| 1984 | Flynn ! Tom Flynn | Green Bay Packers | Safety |
| 1986 | O'Neal ! Leslie O'Neal co-winner | San Diego Chargers | Defensive end |
| 1986 | Offerdahl, John John Offerdahl co-winner | Miami Dolphins | Linebacker |
| 1987 | Conlan ! Shane Conlan | Buffalo Bills | Linebacker |
| 1988 | McMillan ! Erik McMillan | New York Jets | Safety |
| 1989 | Thomas ! Derrick Thomas | Kansas City Chiefs | Linebacker |
| 1990 | Carrier ! Mark Carrier | Chicago Bears | Safety |
| 1991 | Croell ! Mike Croel | Denver Broncos | Linebacker |
| 1992 | Carter ! Dale Carter | Kansas City Chiefs | Cornerback |
| 1993 | Stubblefield ! Dana Stubblefield | San Francisco 49ers | Defensive tackle |
| 1994 | Bowens ! Tim Bowens | Miami Dolphins | Defensive tackle |
| 1995 | Douglas ! Hugh Douglas | New York Jets | Defensive end |
| 1996 | Rice ! Simeon Rice | Arizona Cardinals | Defensive end |
| 1997 | Boulware ! Peter Boulware | Baltimore Ravens | Linebacker |
| 1998 | Woodson ! Charles Woodson | Oakland Raiders | Cornerback |
| 1999 | Kearse ! Jevon Kearse | Tennessee Titans | Defensive end |
| 2000 | Urlacher ! Brian Urlacher | Chicago Bears | Linebacker |
| 2001 | Bell ! Kendrell Bell | Pittsburgh Steelers | Linebacker |
| 2002 | Peppers ! Julius Peppers | Carolina Panthers | Defensive end |
| 2003 | Suggs ! Terrell Suggs | Baltimore Ravens | Linebacker |
| 2004 | Robinson, Dunta Dunta Robinson | Houston Texans | Cornerback |
| 2005 | Merriman ! Shawne Merriman | San Diego Chargers | Linebacker |
| 2006 | Ryans ! DeMeco Ryans | Houston Texans | Linebacker |
| 2007 | Willis ! Patrick Willis | San Francisco 49ers | Linebacker |
| 2008 | Mayo ! Jerod Mayo | New England Patriots | Linebacker |
| 2009 | Cushing ! Brian Cushing | Houston Texans | Linebacker |
| 2010 | Suh ! Ndamukong Suh | Detroit Lions | Defensive tackle |
| 2011 | Smith, Aldon Aldon Smith [18] | San Francisco 49ers | Outside linebacker |
| 2012 | Kuechly, Luke Luke Kuechly [19] | Carolina Panthers | Linebacker |
| 2013 | Alonso, Kiko Kiko Alonso [13] | Buffalo Bills | Linebacker |
| 2014 | Donald ! Aaron Donald [14] | St. Louis Rams | Defensive tackle |
| 2015 | Peters, Marcus Marcus Peters | Kansas City Chiefs | Cornerback |
