# Ar Tonelico
> World Setting

| Lineage | Name of the God | Mythological Role | Real Role | Direct Superior (Parent?) |
| --- | --- | --- | --- | --- |
| Land | Horus | Wasn't discovered until 2930 AD, so it doesn't appear in any myths. Highest level God of the Land lineage. | Complete ruling over the physical structure (all D-Wave related matters) of Ar Ciel. | None |
| Sky | Nayudara/Juklizda | Sun God Highest level God of the Sky lineage. | Light, radiation, preservation of the stratosphere. | None |
| Souls | Rokkan/Clyuue | King of kings, lord of the gods Highest level God of the Souls lineage | Core of the wills, controller of U-Waves. | None |
| Sky | Soutentei/Soreile | God of the skies and wind | Weather control, atmospheric maintenance | Juklizda |
| Sky | Deiji/Dijya | God of mountains and volcanoes | Controls matter convection, minerals and such other matters related to Ar Ciel's soil | Soreile |
| Sky | Soumanomiya/Soma | God of violence and catastrophes | Balance through natural selection, maintenance of the world | Soreile |
| Sky | Kokura/Filament | God of death and poverty | Overseer of balance for world preservation | Soma |
| Souls | Suzunomiya/Hymmnosphere | God of song and creation | Mother of the tridimensional world, controller of D-waves | Clyuue |
| Souls | Koudeinomikoto/Listea | God of weapons and battle | Control of H-Wave interference, mediation, natural selection | Hymmnosphere |
| Souls | Sashanomiya/Sasya | God of civilization and knowledge | Overseer of D-waves and material order | Hymmnosphere |
| Souls | Datenkou/Salapator | Goddess of love, god of downfall | H-wave interference, harmony, resonance direction | Hymmnosphere |
| Land | Reishiki/Lere | God of souls and the material world. (Was thought to be the highest level God of the Land lineage) | Primary god of life creation, controller of H-Waves | Horus |
| Land | Saranoyomei/Shelanoir | God of plants, forests, and life | Plant-centric god of creation | Lere |
| Land | Sakiyarumei/Saki | God of salvation and life | Animal-centric god of creation | Lere |
| Land | Gurentei/Yurishica | God of fire and civilization | Revelation and encouragement of human advancement | Saki |
| Land | Ar Ru (Arru) [Note 1] | None due to being discovered long after the First Era had ended | Creation and control of the Antibodies. Antibody Brain | Horus |
