# Selected Sovereign Credit Ratings by Major Agencies (S&P, Moody's, Fitch) — Long-Term Foreign Currency Issuer Ratings

| Country | S&P (LT FC) | Moody's (LT FC) | Fitch (LT FC) | Notes |
|---|---|---|---|---|
| United States | AA+ | Aaa | AA+ | Example where S&P is lower than Moody’s/Fitch |
| Germany | AAA | Aaa | AAA | Broad agreement at top tier |
| France | AA- | Aa2 | AA- | Moody’s slightly higher (Aa2) vs AA- |
| United Kingdom | AA | Aa3 | AA- | Fitch one notch lower than S&P |
| Japan | A+ | A1 | A | Fitch lower than S&P/Moody’s |
| Canada | AAA | Aaa | AA+ | Fitch one notch below S&P/Moody’s |
| China | A+ | A1 | A+ | Generally aligned |
| India | BBB- | Baa3 | BBB- | Investment-grade at lower bound |
| Brazil | BB | Ba2 | BB | Sub-IG; Moody’s uses Ba scale |
| South Africa | BB- | Ba2 | BB- | Moody’s one notch higher than S&P/Fitch |
| Turkey | B | B3 | B+ | Divergence: Fitch higher than S&P/Moody’s |
| Argentina | CCC | Ca | CC | Deep distress; agency scales diverge |
