# Cost of Attendance Components by Term (Two-Semester Budget, 2024–2025)

| Component | Fall term | Spring term | Academic-year total |
| --- | ---:| ---:| ---:|
| Tuition | $6,100 | $6,100 | $12,200 |
| Student services fee | $420 | $420 | $840 |
| Technology fee | $160 | $160 | $320 |
| Housing (on-campus) | $4,050 | $4,050 | $8,100 |
| Meal plan | $2,650 | $2,650 | $5,300 |
| Books & supplies | $650 | $550 | $1,200 |
| Transportation | $520 | $520 | $1,040 |
| Personal/miscellaneous | $900 | $900 | $1,800 |
| Health insurance (if not waived) | $1,250 | $0 | $1,250 |
| Estimated total cost of attendance | $16,700 | $15,350 | $32,050 |
