# Ladder match
> Ladder matches in Total Nonstop Action Wrestling

| # | Match | Event, date and location |
| --- | --- | --- |
| 1 | Sabu defeated Malice to become the No. 1 contender to the NWA World Heavyweight Championship | NWA:TNA Weekly PPV # 5 July 13, 2002, Nashville, Tennessee |
| 2 | Ken Shamrock fought Sabu to a no-contest in an NWA World Heavyweight Championship match | NWA:TNA Weekly PPV # 6 July 24, 2002, Nashville, Tennessee |
| 3 | Jerry Lynn defeated Low Ki and A.J. Styles to win the NWA X Division Championship | NWA:TNA Weekly PPV # 11 August 28, 2002, Nashville, Tennessee |
| 4 | Jerry Lynn defeated A.J. Styles to retain the NWA X Division Championship | NWA:TNA Weekly PPV # 14 October 2, 2002, Nashville, Tennessee |
| 5 | Syxx-Pac defeated Tony Mamaluke , Jose Maximo , Joel Maximo , Kid Kash , A.J. Styles, Ace Steel , Rick Michaels , & Chris Michaels to win the vacated NWA X Division Championship | NWA:TNA Weekly PPV # 15 October 9, 2002, Nashville, Tennessee |
| 6 | Raven defeated A.J. Styles to become the No. 1 contender for the NWA World Heavyweight Championship. | NWA:TNA Weekly PPV # 36 March 19, 2003, Nashville, Tennessee |
| 7 | Dusty Rhodes defeated Brian Lawler | NWA:TNA Weekly PPV # 39 April 9, 2003, Nashville, Tennessee |
| 8 | Abyss defeated A.J. Styles to become No. 1 contender for the NWA World Heavyweight Championship. | NWA:TNA Weekly PPV # 85 March 19, 2004, Nashville, Tennessee |
| 9 | Eric Young defeated Mr. Águila , Jerry Lynn , and Taichi Ishikari to advance in the TNA World X Cup. | NWA:TNA Weekly PPV # 95 May 26, 2004, Nashville, Tennessee |
| 10 | The Naturals ( Chase Stevens and Andy Douglas ) defeated America's Most Wanted ( Chris Harris and James Storm ) to win the NWA World Tag Team Championship. | NWA:TNA Weekly PPV # 102 July 14, 2004, Nashville, Tennessee |
| 11 | Jeff Jarrett defeated Jeff Hardy to retain the NWA World Heavyweight Championship | TNA Victory Road November 5, 2004, Orlando, Florida . |
| 12 | LAX ( Homicide & Hernandez ) defeated America's Most Wanted (Chris Harris & James Storm) in a Flag Match. | TNA Turning Point December 10, 2006, Orlando, Florida |
| 13 | Jerry Lynn defeated Jay Lethal , Sonjay Dutt , Austin Starr , and Senshi to become No. 1 contender for the TNA X Division Championship. | TNA Impact! February 22, 2007, Orlando, Florida |
| 14 | Abyss and Sting defeated Christian Cage and A.J. Styles for Abyss to face Cage at Hard Justice 2007 . | TNA Impact! August 2, 2007, Orlando, Florida |
