# Elements with Multiple Oxidation Numbers and Example Neutral Compounds

| Element | Common Oxidation Numbers | Example Compound (neutral) | Example Name | Notes |
|---|---|---|---|---|
| Iron | +2, +3 | Fe2O3 | iron(III) oxide | oxidation depends on compound |
| Copper | +1, +2 | Cu2O | copper(I) oxide | can also be +2 in CuO |
| Tin | +2, +4 | SnO2 | tin(IV) oxide | variable oxidation |
| Lead | +2, +4 | PbO2 | lead(IV) oxide | +2 more common |
| Manganese | +2, +4, +7 | KMnO4 | potassium permanganate | high oxidation state in permanganate |
| Chromium | +2, +3, +6 | Cr2O3 | chromium(III) oxide | +6 in chromates |
| Sulfur | -2, +4, +6 | SO2 | sulfur dioxide | multiple covalent states |
| Nitrogen | -3, +3, +5 | N2O5 | dinitrogen pentoxide | oxidation varies widely |
| Chlorine | -1, +1, +5, +7 | HClO3 | chloric acid | several oxoacids |
| Carbon | -4, +4 | CO2 | carbon dioxide | -4 in methane |
