# Venomous Snake Species Documented in Arizona (U.S. State Focus)

| Group | Scientific name | Common name | Notes on AZ occurrence (within-state context) |
| --- | --- | --- | --- |
| Rattlesnakes (Crotalinae) | Crotalus atrox | Western diamond-backed rattlesnake | Widespread in Arizona deserts and foothills |
| Rattlesnakes (Crotalinae) | Crotalus scutulatus | Mojave rattlesnake | Primarily western & central AZ desert regions |
| Rattlesnakes (Crotalinae) | Crotalus cerastes | Sidewinder | Common in sandy desert habitats in AZ |
| Rattlesnakes (Crotalinae) | Crotalus tigris | Tiger rattlesnake | Mainly central & southern AZ (Sonoran Desert) |
| Rattlesnakes (Crotalinae) | Crotalus pricei | Twin-spotted rattlesnake | Higher elevations ("sky islands") in southeastern AZ |
| Rattlesnakes (Crotalinae) | Crotalus willardi | Ridge-nosed rattlesnake | Restricted ranges in mountainous SE Arizona |
| Rattlesnakes (Crotalinae) | Crotalus molossus | Black-tailed rattlesnake | Southern & central AZ, especially rocky hillsides |
| Rattlesnakes (Crotalinae) | Crotalus lepidus | Rock rattlesnake | Patchy; rocky uplands in parts of AZ |
| Coral snakes (Elapidae) | Micruroides euryxanthus | Sonoran coral snake | Southern Arizona; typically in desert scrub/woodland edges |
