# Conference Programs Ranked by NCAA Tournament Legacy (Titles, Final Fours, Appearances)

| Legacy Rank | School | Conference | NCAA Titles | Final Fours | Elite Eights | Tournament Appearances |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | Kentucky | SEC | 8 | 17 | 27 | 60 |
| 2 | North Carolina | ACC | 6 | 20 | 28 | 52 |
| 3 | Duke | ACC | 5 | 16 | 25 | 47 |
| 4 | Kansas | Big 12 | 4 | 16 | 24 | 51 |
| 5 | Indiana | Big Ten | 5 | 8 | 11 | 39 |
| 6 | Louisville | ACC | 3 | 10 | 13 | 43 |
| 7 | Michigan State | Big Ten | 2 | 10 | 19 | 39 |
| 8 | Villanova | Big East | 3 | 7 | 9 | 40 |
| 9 | Connecticut | Big East | 5 | 6 | 11 | 25 |
