# Administrative distance
> Default administrative distances

| Routing Protocol | Administrative distance |
| --- | --- |
| Directly connected interface | 0 |
| Static route out an interface | 1 |
| Static route to next-hop address | 1 |
| DMNR - Dynamic Mobile Network Routing | 3 |
| EIGRP summary route | 5 |
| External BGP | 20 |
| Internal EIGRP | 90 |
| IGRP | 100 |
| OSPF | 110 |
| IS-IS | 115 |
| Routing Information Protocol (RIP) | 120 |
| Exterior Gateway Protocol (EGP) | 140 |
| On Demand Routing (ODR) | 160 |
| External EIGRP | 170 |
| Internal BGP | 200 |
| Next Hop Resolution Protocol (NHRP) | 250 |
| Floating Static Route (ex. DHCP -learned) | 254 |
| Unknown (Others) | 255 |
