# University of Virginia School of Engineering and Applied Science
> Departments and degrees

|  | Undergraduate | Graduate | Ph.D. |
| --- | --- | --- |
| Biomedical Engineering | X | X | X |
| Chemical Engineering | X | X | X |
| Civil and Environmental Engineering | X | X | X |
| Computer Science | X | X | X |
| Electrical and Computer Engineering | X | X | X |
| Engineering and Society |  | X | X |
| Materials Science and Engineering |  | X | X |
| Mechanical and Aerospace Engineering | X | X | X |
| Systems and Information Engineering | X | X | X |
