# Pre-Washington National Presiding Role Holders  Presidents of Congress (1774–1787) with State Association

| Period | Office Title Used at the Time | Name (Row Subject) | State Associated | When in Office |
|---|---|---|---|---|
| Continental Congress | President of the Continental Congress | Peyton Randolph | Virginia | 1774 (1st term) |
| Continental Congress | President of the Continental Congress | Henry Middleton | South Carolina | 1774 |
| Continental Congress | President of the Continental Congress | Peyton Randolph | Virginia | 1775 (returned briefly) |
| Continental Congress | President of the Continental Congress | John Hancock | Massachusetts | 1775–1777 |
| Continental Congress | President of the Continental Congress | Henry Laurens | South Carolina | 1777–1778 |
| Continental Congress | President of the Continental Congress | John Jay | New York | 1778–1779 |
| Continental Congress / Confederation transition | President (of Congress) | Samuel Huntington | Connecticut | 1779–1781 |
| Confederation Congress | President of the United States in Congress Assembled | Thomas McKean | Delaware | 1781 |
| Confederation Congress | President of the United States in Congress Assembled | John Hanson | Maryland | 1781–1782 |
| Confederation Congress | President of the United States in Congress Assembled | Elias Boudinot | New Jersey | 1782–1783 |
| Confederation Congress | President of the United States in Congress Assembled | Thomas Mifflin | Pennsylvania | 1783–1784 |
| Confederation Congress | President of the United States in Congress Assembled | Richard Henry Lee | Virginia | 1784–1785 |
| Confederation Congress | President of the United States in Congress Assembled | John Hancock | Massachusetts | 1785–1786 |
| Confederation Congress | President of the United States in Congress Assembled | Nathaniel Gorham | Massachusetts | 1786 |
| Confederation Congress | President of the United States in Congress Assembled | Arthur St. Clair | Pennsylvania | 1787 |
