# Netflix 4K Ultra HD Titles — Quick Scan List (Single Title per Row)

| Title | Title Type | Release / Netflix Debut Date |
| --- | --- | --- |
| The Witcher | TV Series | Dec-19 |
| Lost in Space | TV Series | Apr-18 |
| Narcos | TV Series | Aug-15 |
| The Umbrella Academy | TV Series | Feb-19 |
| Sex Education | TV Series | Jan-19 |
| Money Heist (La Casa de Papel) | TV Series | May-17 |
| 13th | Documentary | Oct-16 |
| El Camino: A Breaking Bad Movie | Movie | Oct-19 |
| The Two Popes | Movie | Dec-19 |
