# History of Firefox
> Rapid release

| Browser | % of Fx | % of Total |
| --- | --- | --- |
| Old version, no longer supported: Firefox 2 | 0.13% | 0.01% |
| Old version, no longer supported: Firefox 3.x | 0.93% | 0.07% |
| Old version, no longer supported: Firefox 4 | — | — |
| Old version, no longer supported: Firefox 5 – 9 | 0.54% | 0.04% |
| Old version, no longer supported: Firefox 10 – 16 | 0.79% | 0.06% |
| Old version, no longer supported: Firefox 17 – 23 | 0.93% | 0.07% |
| Old version, no longer supported: Firefox 24 – 30 | 1.59% | 0.12% |
| Old version, no longer supported: Firefox 31 – 37 | 2.64% | 0.20% |
| Old version, no longer supported: Firefox 38 – 44 | 8.19% | 0.62% |
| Older version, yet still supported: Firefox 45 Firefox ESR 45 | 2.64% | 0.20% |
| Old version, no longer supported: Firefox 46 | 2.25% | 0.17% |
| Old version, no longer supported: Firefox 47 | 11.49% | 0.87% |
| Old version, no longer supported: Firefox 48 | 52.18% | 3.95% |
| Current stable version: Firefox 49 | 14.27% | 1.08% |
| Future release: Firefox 50 | 0.54% | 0.04% |
| All variants [56] | 100% | 7.57% |
