# Sixth Form Options  A level Subject Fees and Estimated Costs (UK)

| Subject | Level | Exam Entry Fee (estimate) | Materials/Trip Costs | Notes |
| --- | --- | --- | --- | --- |
| Art and Design | A level | £120 | £80–£200 materials | Portfolio supplies vary |
| Biology | A level | £115 | £20–£60 | Lab consumables |
| Chemistry | A level | £115 | £20–£60 | Lab consumables |
| Physics | A level | £115 | £10–£40 | Equipment use |
| Geography | A level | £120 | £30–£250 fieldwork | Fieldwork strongly affects cost |
| History | A level | £110 | £15–£40 books | Reading-heavy |
| Music | A level | £130 | £50–£300 instrument/tuition | Depends on instrument |
| Drama and Theatre | A level | £120 | £20–£150 productions | Production visits |
| Computer Science | A level | £115 | £0–£50 | Optional software/hardware |
| French | A level | £110 | £0–£80 | Exchange/trips optional |
