# Cyprus Airways
> Fleet

| Aircraft | Introduced | Retired |
| --- | --- | --- |
| Airbus A310-200 | 1984 | 2003 |
| Airbus A319-100 | 2002 | 2013 |
| Airbus A320-200 | 1989 | 2015 |
| Airbus A321-200 | 2012 | 2013 |
| Airbus A330-200 | 2002 | 2012 |
| Airspeed Oxford [6] | 1953 | 1955 |
| Airspeed Ambassador | ? | ? |
| Auster Alpine | ? | ? |
| BAC One-Eleven 500 | 1974 | 1995 |
| Boeing 707-123B | 1979 | 1989 |
| Boeing 720 | 1976 | 1979 |
| Bristol Britannia | ? | ? |
| Canadair CL44 D4-1 Freighter | ? | ? |
| De Havilland Comet | ? | ? |
| Douglas DC-3 Dakota | 1947 | 1957 |
| Douglas DC-6B Freighter | ? | ? |
| Douglas DC-8-51 | 1979 | 1979 |
| Douglas DC-8-52 | 1976 | 1978 |
| McDonnell Douglas DC-9-15 | 1975 | 1976 |
| Hawker Siddeley Trident 1E | 1972 | 1974 |
| Hawker Siddeley Trident 2E | 1969 | 1974 |
| Vickers Viscount 806 | ? | ? |
