# Fallout 4 Characters and Backstories (Roles, Allegiances, and First Appearances)

| Character | Role | Faction/Allegiance | First Encounter Location | Story Relevance |
| --- | --- | --- | --- | --- |
| Shaun (Father) | Institute leader | The Institute | The Institute | Central to main plot |
| Kellogg | Mercenary antagonist | Independent | Fort Hagen | Key early-game target |
| Desdemona | Railroad leader | Railroad | Old North Church | Oversees synth liberation |
| Elder Maxson | Brotherhood elder | Brotherhood of Steel | The Prydwen | Commands BOS in Commonwealth |
| Preston Garvey | Minutemen officer | Minutemen | Museum of Freedom | Settlement questline |
| Piper Wright | Reporter | Diamond City | Publick Occurrences | Early companion option |
| Nick Valentine | Detective | Independent | Vault 114 | Investigations & main quest |
| Hancock | Mayor | Goodneighbor | Old State House | Companion path |
| Dr. Amari | Memory specialist | Goodneighbor | Memory Den | Assists with main quest |
| Virgil | Scientist | Ex-Institute | Glowing Sea (Rocky Cave) | Teleporter plans |
| Paladin Danse | Soldier | Brotherhood of Steel | Cambridge Police Station | BOS entry point |
| Tektus | High Confessor | Children of Atom | The Nucleus (Far Harbor) | DLC authority figure |
