# Landscape Plants with Rating Scale Explained (Ratings Only in Footnotes, Not Per Plant)

| Plant (Common Name) | Latin Name | Category | Deer Resistance (See Key) |
| --- | --- | --- | --- |
| Hydrangea | Hydrangea macrophylla | Shrub | See key |
| Hosta | Hosta spp. | Perennial | See key |
| Tulip | Tulipa spp. | Bulb | See key |
| Arborvitae | Thuja occidentalis | Tree/Shrub | See key |
| Daylily | Hemerocallis spp. | Perennial | See key |
| Rose | Rosa spp. | Shrub | See key |
| Yew | Taxus spp. | Shrub | See key |
| Pansy | Viola × wittrockiana | Annual | See key |
| Impatiens | Impatiens walleriana | Annual | See key |
| English Ivy | Hedera helix | Groundcover | See key |

**Key (general, not assigned per plant):** A = rarely browsed; B = occasionally browsed; C = frequently browsed; D = heavily browsed.
