# Timeline of English history
> 20 th century

| Year | Date | Event |
| --- | --- | --- |
| 1914 | 4 August | World War I : Great Britain declares war on Germany. |
| 1918 | 11 November | World War I ended. |
| 1936 | 5–31 October | The Jarrow March protest. |
| 1939 | 3 September | British entry into World War II . |
| 1945 | 8 May | World War II ended in Europe. |
| 1948 | 5 July | The National Health Service came into being. |
| 1952 | 6 February | Death of King George VI . Accession of Queen Elizabeth II (beginning of second Elizabethan era). |
| 1965 | 24 January | Death of Winston Churchill . |
| 1966 | 30 July | England wins the FIFA World Cup . |
| 1973 | 1 January | Joined European Union . |
| 1982 | 11 October | The Mary Rose was raised from the seabed. |
| 1994 | 6 May | The Channel Tunnel opened. |
