# Marco Polo (TV Series) — Episodes Guide With Guest Cast Notes

| Season | Episode | Air date | Episode title | Guest cast (selected) | Production notes |
|---|---|---|---|---|---|
| 1 | 1 | 2014-12-12 | The Wayfarer | Various guest actors | Pilot; location shooting |
| 1 | 2 | 2014-12-12 | The Wolf and the Deer | Various guest actors | Introduces court factions |
| 1 | 3 | 2014-12-12 | Feast | Various guest actors | Major banquet sequence |
| 1 | 4 | 2014-12-12 | The Fourth Step | Various guest actors | Stunt-heavy episode |
| 1 | 5 | 2014-12-12 | Hashshashin | Various guest actors | New antagonists |
| 1 | 6 | 2014-12-12 | The Messenger | Various guest actors | Political intrigue focus |
| 1 | 7 | 2014-12-12 | The Scholar's Pen | Various guest actors | Court education subplot |
| 1 | 8 | 2014-12-12 | Rendering | Various guest actors | Battle preparation |
| 1 | 9 | 2014-12-12 | Prisoners | Various guest actors | Captivity storyline |
| 1 | 10 | 2014-12-12 | The Heavenly and Primal | Various guest actors | Season finale |
