# Monatomic Ions Chart (Element Symbols, Ion Charges, and Names)

| Ion Name | Element Symbol | Ion Formula | Charge | Group/Type | Notes |
| --- | --- | --- | --- | --- | --- |
| Sodium ion | Na | Na+ | +1 | alkali metal cation | common in salts |
| Magnesium ion | Mg | Mg2+ | +2 | alkaline earth cation | hard cation |
| Aluminum ion | Al | Al3+ | +3 | main-group cation | forms Al(OH)3 |
| Iron(II) ion | Fe | Fe2+ | +2 | transition-metal cation | reducing form |
| Iron(III) ion | Fe | Fe3+ | +3 | transition-metal cation | oxidizing form |
| Copper(I) ion | Cu | Cu+ | +1 | transition-metal cation | unstable in water |
| Copper(II) ion | Cu | Cu2+ | +2 | transition-metal cation | common aqueous ion |
| Silver ion | Ag | Ag+ | +1 | transition-metal cation | forms AgCl precipitate |
| Zinc ion | Zn | Zn2+ | +2 | transition-metal cation | d10 configuration |
| Chloride ion | Cl | Cl- | -1 | halide anion | conjugate base |
| Oxide ion | O | O2- | -2 | nonmetal anion | in oxides |
| Sulfide ion | S | S2- | -2 | nonmetal anion | in metal sulfides |
