# Super Smash Bros. Ultimate Unlock Guide (World of Light) — Fighters and Conditions

| Unlock Order | Fighter | Unlock Condition | Mode | Notes |
| ---: | --- | --- | --- | --- |
| 1 | Sheik | Clear early Spirit battle on the World Map | World of Light | Appears near The Light Realm gate |
| 2 | Ness | Win against Ness on the World Map | World of Light | CPU level scales with progress |
| 3 | Captain Falcon | Defeat Falcon in a special event battle | World of Light | Often tied to F-Zero spirits |
| 4 | Jigglypuff | Complete a side path battle | World of Light | Lightweight fighter unlock |
| 5 | Falco | Win a star-shaped node battle | World of Light | Associated with Star Fox spirits |
| 6 | Dr. Mario | Clear a medical-themed spirit set | World of Light | Sometimes appears after Mario unlock |
| 7 | Ganondorf | Beat a dark-realm boss route battle | World of Light | High power requirement |
| 8 | Luigi | Find a hidden battle behind a bridge | World of Light | Unlocks after clearing nearby nodes |
| 9 | Mewtwo | Defeat a legendary-class spirit battle | World of Light | High difficulty gate |
| 10 | Cloud | Win a timed event battle | World of Light | Can be optional depending on path |
