# New Hampshire Primary — Candidate Field and Ballot Access (No First-Place Column)

| Contest year | Party | Candidate | Status on ballot | Incumbent | Withdrew before contest | Notable note |
| --- | --- | --- | --- | --- | --- | --- |
| 2016 | Democratic | Bernie Sanders | Qualified | No | No | Neighboring-state senator |
| 2016 | Democratic | Hillary Clinton | Qualified | No | No | Former secretary of state |
| 2012 | Democratic | Barack Obama | Qualified | Yes | No | Running unopposed effectively |
| 2008 | Democratic | Hillary Clinton | Qualified | No | No |  |
| 2008 | Democratic | Barack Obama | Qualified | No | No |  |
| 2004 | Democratic | John Kerry | Qualified | No | No |  |
| 2004 | Democratic | Howard Dean | Qualified | No | No | Former Vermont governor |
| 2016 | Republican | Donald Trump | Qualified | No | No |  |
| 2012 | Republican | Mitt Romney | Qualified | No | No |  |
| 2008 | Republican | John McCain | Qualified | No | No |  |
