# American Civil War Campaigns and Operations (By Date Range)

| Campaign / Operation | Date Range | Primary Area | Main Objective | Outcome |
|---|---|---|---|---|
| Peninsula Campaign | Mar–Jul 1862 | Virginia Peninsula & Richmond approaches | Capture Richmond via amphibious/peninsular advance | Confederate strategic victory |
| Maryland Campaign | Sep 1862 | Maryland | Lee's invasion; seek political/military advantage | Strategic Union advantage after Antietam |
| Vicksburg Campaign | Dec 1862 – Jul 1863 | Mississippi River (Vicksburg) | Gain control of Mississippi River & split Confederacy | Union victory |
| Gettysburg Campaign | Jun–Jul 1863 | Pennsylvania & Maryland | Confederate invasion of the North | Union victory |
| Chattanooga Campaign | Sep–Nov 1863 | Tennessee (Chattanooga) | Break siege; secure gateway to Deep South | Union victory |
| Atlanta Campaign | May–Sep 1864 | North Georgia | Capture Atlanta & disrupt Confederate logistics | Union victory |
| Red River Campaign | Mar–May 1864 | Louisiana | Union advance toward Shreveport; control Trans-Mississippi | Confederate victory |
| Shenandoah Valley Campaigns (1864) | Aug–Oct 1864 | Shenandoah Valley, Virginia | Deny resources; end Confederate threat to Washington | Union victory |
| Franklin–Nashville Campaign | Sep–Dec 1864 | Tennessee | Confederate offensive to regain Tennessee | Union victory |
| Carolinas Campaign | Feb–Apr 1865 | South & North Carolina | Destroy remaining Confederate armies/supplies | Union victory |
| Appomattox Campaign | Mar–Apr 1865 | Virginia | Force surrender of Army of Northern Virginia | Union victory |
