# Local government areas of Scotland 1973–96
> Districts

| District | Region |
| --- | --- |
| Aberdeen | Grampian |
| Angus | Tayside |
| Annandale and Eskdale | Dumfries and Galloway |
| Argyll or Argyll and Bute | Strathclyde |
| Badenoch and Strathspey | Highland |
| Banff and Buchan | Grampian |
| Bearsden and Milngavie | Strathclyde |
| Berwickshire | Borders |
| Caithness | Highland |
| Clackmannan | Central |
| Clydebank | Strathclyde |
| Clydesdale | Strathclyde |
| Cumbernauld and Kilsyth | Strathclyde |
| Cumnock and Doon Valley | Strathclyde |
| Cunninghame | Strathclyde |
| Dumbarton | Strathclyde |
| Dundee | Tayside |
| Dunfermline | Fife |
| East Kilbride | Strathclyde |
| East Lothian | Lothian |
| Eastwood | Strathclyde |
| Edinburgh | Lothian |
| Ettrick and Lauderdale | Borders |
| Falkirk | Central |
| Glasgow | Strathclyde |
| Gordon | Grampian |
| Hamilton | Strathclyde |
| Inverclyde | Strathclyde |
| Inverness | Highland |
| Kilmarnock and Loudoun | Strathclyde |
| Kincardine and Deeside | Grampian |
| Kirkcaldy | Fife |
| Kyle and Carrick | Strathclyde |
| Lochaber | Highland |
| Midlothian | Lothian |
| Monklands | Strathclyde |
| Moray | Grampian |
| Motherwell | Strathclyde |
| Nairn | Highland |
| Nithsdale | Dumfries and Galloway |
| North-East Fife | Fife |
| Perth and Kinross | Tayside |
| Renfrew | Strathclyde |
| Ross and Cromarty | Highland |
| Roxburgh | Borders |
| Skye and Lochalsh | Highland |
| Stewartry | Dumfries and Galloway |
| Stirling | Central |
| Strathkelvin | Strathclyde |
| Sutherland | Highland |
| Tweeddale | Borders |
| West Lothian | Lothian |
| Wigtown | Dumfries and Galloway |
