# Infant Toddler Growth Reference (Postnatal)  Typical Height and Weight Ranges by Month (Boys vs Girls)

| Age (months) | Boys weight (lb) | Boys length/height (in) | Girls weight (lb) | Girls length/height (in) |
|---:|---|---|---|---|
| 1 | 7.5–10.5 | 20.0–22.0 | 7.0–9.8 | 19.5–21.5 |
| 2 | 9.0–12.5 | 21.0–23.5 | 8.5–11.8 | 20.5–23.0 |
| 3 | 10.5–14.5 | 22.0–24.5 | 10.0–14.0 | 21.5–24.0 |
| 6 | 15.0–19.5 | 25.0–27.5 | 14.0–18.5 | 24.5–27.0 |
| 9 | 17.5–22.5 | 27.0–29.5 | 16.5–21.5 | 26.5–29.0 |
| 12 | 19.5–24.5 | 28.5–31.0 | 18.0–23.5 | 28.0–30.5 |
| 15 | 20.5–26.0 | 30.0–32.5 | 19.5–25.0 | 29.5–32.0 |
| 18 | 22.0–28.0 | 31.0–33.5 | 20.5–27.0 | 30.5–33.0 |
| 24 | 24.0–31.5 | 33.0–36.0 | 22.5–30.5 | 32.5–35.5 |
