# Entry Requirements and Vaccines by Country — Non-Yellow-Fever Focus

| Country | Vaccine Required for Entry | Proof Needed | Applies To | Notes |
| --- | --- | --- | --- | --- |
| Saudi Arabia | Meningococcal (ACWY) | Certificate | Umrah/Hajj pilgrims | Timing rules apply |
| Pakistan | Polio | Certificate | Travelers from certain countries | Often for outbound travel too |
| Afghanistan | Polio | Certificate | Travelers from certain countries | Requirements change during outbreaks |
| Australia | null specific | — | Most travelers | Routine immunizations encouraged |
| Japan | null specific | — | Most travelers | Seasonal influenza advice |
| United States | null specific | — | Most travelers | Routine vaccines per age |
| France | null specific | — | Most travelers | Routine vaccines recommended |
| Singapore | null specific | — | Most travelers | May request health declarations |
| India | null specific | — | Most travelers | Entry rules vary by event |
| Brazil | null specific | — | Most travelers | Advisories may exist |
