# 2008 NBA draft
> Notable undrafted players

| Player | Position | Nationality | School/club team |
| --- | --- | --- | --- |
| Forbes, Gary Gary Forbes | SF | Panama | UMass (Sr.) |
| Gaines, Sundiata Sundiata Gaines | PG | United States | Georgia (Sr.) |
| Gladness, Mickell Mickell Gladness | C | United States | Alabama A&M (Sr.) |
| Hill, Steven Steven Hill | PF | United States | Arkansas (Sr.) |
| Hunter, Othello Othello Hunter | F | United States | Ohio State (Sr.) |
| Jeffers, Othyus Othyus Jeffers | SG | United States | Robert Morris (IL) (Sr.) |
| Kurz, Rob Rob Kurz | SF | United States | Notre Dame (Sr.) |
| Mejri, Salah Salah Mejri | C | Tunisia | Étoile Sportive du Sahel ( Tunisia ) |
| Morrow, Anthony Anthony Morrow | SG | United States | Georgia Tech (Sr.) |
| Mozgov, Timofey Timofey Mozgov | C | Russia | Khimki Moscow ( Russia ) |
| Nelson, DeMarcus DeMarcus Nelson | PG | United States | Duke (Sr.) |
| Roberts, Brian Brian Roberts | PG | United States | Dayton (Sr.) |
| Rudež, Damjan Damjan Rudež | F | Croatia | KK Split (Croatia) |
| Stiemsma, Greg Greg Stiemsma | C | United States | Wisconsin (Sr.) |
| Williams, Reggie Reggie Williams | SF | United States | VMI (Sr.) |
