# Common Coordination Compounds (Metal Complexes) and Overall Charges

| Complex (as isolated/observed) | Overall formula | Net charge | Primary ligands present |
| --- | --- | --- | --- |
| Hexaamminecobalt(III) | [Co(NH3)6]Cl3 | 0 | NH3 |
| Tetraamminecopper(II) sulfate | [Cu(NH3)4]SO4 | 0 | NH3 |
| Hexaammine nickel(II) chloride | [Ni(NH3)6]Cl2 | 0 | NH3 |
| Tris(ethylenediamine)cobalt(III) chloride | [Co(en)3]Cl3 | 0 | en |
| Potassium tetracyanonickelate(II) | K2[Ni(CN)4] | 0 | CN− |
| Sodium nitroprusside | Na2[Fe(CN)5NO] | 0 | CN−, NO |
| Potassium ferricyanide | K3[Fe(CN)6] | 0 | CN− |
| Cisplatin | cis-[Pt(NH3)2Cl2] | 0 | NH3, Cl− |
| Sodium tetrachlorocuprate(II) | Na2[CuCl4] | 0 | Cl− |
| Potassium dioxalatochromate(III) | K3[Cr(C2O4)3] | 0 | C2O4^2− |
