# Craft Brewery Comparison  Core Beers and Strength Metrics (ABV with Style and Bitterness)

| Brewery | Beer | Style | ABV (%) | IBU | Availability | Notes |
|---|---|---|---:|---:|---|---|
| Harbor Peak Brewing | West Coast Rider | West Coast IPA | 7.2 | 65 | Year-round | Dry finish, citrus/pine hop profile |
| Harbor Peak Brewing | Fog Bank | Hazy IPA | 6.4 | 35 | Year-round | Juicy, soft bitterness |
| Harbor Peak Brewing | Copper Rail | Amber Ale | 5.6 | 28 | Seasonal (Fall) | Caramel malt emphasis |
| Northgate Ales | Midnight Wharf | Dry Stout | 4.5 | 40 | Year-round | Roasted coffee notes |
| Northgate Ales | Orchard Saison | Saison | 6.8 | 30 | Seasonal (Spring) | Peppery yeast character |
| Stonebridge Brewing | Riverstone Pils | German Pilsner | 5.0 | 32 | Year-round | Crisp, herbal hops |
| Stonebridge Brewing | Summit Bock | Doppelbock | 8.1 | 22 | Seasonal (Winter) | Rich malt, low bitterness |
| Lone Cedar Co. | Wildflower Wit | Belgian Witbier | 4.9 | 16 | Year-round | Coriander, orange peel |
| Lone Cedar Co. | Barrel Street | Imperial Stout | 11.2 | 55 | Limited release | Barrel-aged, warming alcohol |
| Lone Cedar Co. | Daybreak Lager | Helles Lager | 4.8 | 18 | Year-round | Clean malt sweetness |
