# U.S. States  Capital Gains Tax Rates by Holding Period (Short-Term vs Long-Term) — Additional Examples

| State | Short-Term Capital Gains Rate (Top) | Long-Term Capital Gains Rate (Top) | Notes |
|---|---:|---:|---|
| New York | 10.90% | 10.90% | Gains generally taxed as ordinary income (state-level) |
| Pennsylvania | 3.07% | 3.07% | Flat-rate income tax; gains generally ordinary |
| Illinois | 4.95% | 4.95% | Flat-rate income tax; gains generally ordinary |
| New Jersey | 10.75% | 10.75% | Progressive income tax; gains generally ordinary |
| North Carolina | 4.50% | 4.50% | Flat-rate income tax; gains generally ordinary |
| Michigan | 4.25% | 4.25% | Flat-rate income tax; gains generally ordinary |
| Indiana | 3.15% | 3.15% | Flat-rate income tax; gains generally ordinary |
| Virginia | 5.75% | 5.75% | Taxes capital gains as ordinary income |
| Vermont | 8.75% | 8.75% | Progressive income tax; gains generally ordinary |
| Connecticut | 6.99% | 6.99% | Progressive income tax; gains generally ordinary |
