# List of 2008–09 NBA season transactions
> Front office movements

| Date | Team | Outgoing coach | New coach | Previous position | Ref. |
| --- | --- | --- | --- | --- | --- |
| 000000002008-11-22-0000 November 22, 2008 | Oklahoma City Thunder | Carlesimo, P. J. P. J. Carlesimo | Brooks, Scott Scott Brooks (interim) | Assistant coach of the Oklahoma City Thunder (2007–2008) | [21] |
| 000000002008-11-24-0000 November 24, 2008 | Washington Wizards | Jordan, Eddie Eddie Jordan | Tapscott, Ed Ed Tapscott (interim) | Director of Player Development of the Washington Wizards (2007–2008) | [22] |
| 000000002008-12-03-0000 December 3, 2008 | Toronto Raptors | Mitchell, Sam Sam Mitchell | Triano, Jay Jay Triano (interim) | Assistant coach of the Toronto Raptors (2002–2008) | [23] |
| 000000002008-12-08-0000 December 8, 2008 | Minnesota Timberwolves | Wittman, Randy Randy Wittman | McHale, Kevin Kevin McHale (interim) | Vice President of Basketball Operations of the Minnesota Timberwolves (1995–2008) | [24] |
| 000000002008-12-13-0000 December 13, 2008 | Philadelphia 76ers | Cheeks, Maurice Maurice Cheeks | DiLeo, Tony Tony DiLeo (interim) | Senior Vice President / Assistant general manager of the Philadelphia Sixers (2003–2008) | [25] |
| 000000002008-12-15-0000 December 15, 2008 | Sacramento Kings | Theus, Reggie Reggie Theus | Natt, Kenny Kenny Natt (interim) | Assistant coach of the Sacramento Kings (2007–2008) | [26] |
| 000000002009-01-23-0000 January 23, 2009 | Memphis Grizzlies | Iavaroni, Marc Marc Iavaroni | Davis, Johnny Johnny Davis (interim) | Assistant coach of the Memphis Grizzlies (2007–2009) | [27] |
| 000000002009-01-25-0000 January 25, 2009 | Memphis Grizzlies | Davis, Johnny Johnny Davis (interim) | Hollins, Lionel Lionel Hollins | Assistant coach of the Milwaukee Bucks (2008–2009) | [28] |
| 000000002009-02-16-0000 February 16, 2009 | Phoenix Suns | Porter, Terry Terry Porter | Gentry, Alvin Alvin Gentry (interim) | Assistant coach of the Phoenix Suns (2004–2009) | [29] |
