# US Federal & State Job Board Listings (No Diploma-Only Filter)

| Job Title | Agency / Employer | Location | Grade / Type | Minimum Requirement |
|---|---|---|---|---|
| Program Analyst | Department of Veterans Affairs | Atlanta, GA | GS-11 | Degree + experience |
| Biomedical Equipment Support Specialist | VA Medical Center | Savannah, GA | GS-9 | Experience / certification |
| Legal Assistant (Court) | State Court System | Lumpkin, GA | Classified | Paralegal / experience |
| Civil Engineer (Geotechnical) | Bureau of Reclamation | Golden, CO | GS-12 | Engineering degree |
| IT Specialist (INFOSEC) | Department of Homeland Security | Remote | GS-13 | Degree/experience |
| Administrative Officer | County Administration | Austin, TX | Full-time | Any degree |
| Engineering Technician | State DOT | Denver, CO | Tech | Diploma/Associate preferred |
| Park Ranger | National Park Service | Moab, UT | GS-7 | Degree/seasonal exp |
| Accounting Technician | Treasury | Dallas, TX | GS-6 | Accounting coursework |
| HR Assistant | City Government | Phoenix, AZ | Full-time | HS/experience |
| Electrician | Naval Shipyard | Norfolk, VA | Wage Grade | License/experience |
