# Selected Canadian Shipwreck Incidents (Atlantic Canada) — Circumstances and Date

| Date (wreck event) | Vessel | Vessel type | Location (Canada) | Province/Territory | Cause / circumstances of loss | Outcome / notes |
| --- | --- | --- | --- | --- | --- | --- |
| 1883-09-01 | SS Atlantic | Ocean liner | Near Marrs Head, Nova Scotia | Nova Scotia | Grounding after navigational error in fog | Broke up on rocks; major loss of life |
| 1909-08-24 | SS St. Paul | Steamship | Off Cape Race | Newfoundland and Labrador | Grounding in poor visibility | Passengers rescued; later salvaged/cleared |
| 1914-10-17 | SS Montreal | Passenger steamer | Off Cape Race | Newfoundland and Labrador | Collision with another vessel in fog | Sank; survivors taken off |
| 1924-07-05 | SS Florizel | Passenger steamer | Near Cappahayden | Newfoundland and Labrador | Grounding on rocks during snowstorm | Wrecked close to shore; loss of life |
| 1929-11-18 | SS Saganaga | Cargo steamship | Off Chebucto Head (approach to Halifax) | Nova Scotia | Collision with another ship | Sank after collision; crews rescued |
| 1942-10-14 | SS Caribou | Passenger ferry | Cabot Strait (en route Sydney–Port aux Basques) | Nova Scotia / Newfoundland and Labrador | Torpedoing (wartime submarine attack) | Sunk rapidly; significant casualties |
| 1943-11-25 | SS Rohna (troopship) | Troop transport | Approx. offshore from Newfoundland (North Atlantic, Canadian region) | Newfoundland and Labrador (offshore) | Air attack / guided bomb | Sunk in convoy area; heavy loss of life |
| 1949-09-16 | SS Noronic | Passenger ship | Toronto Harbour (Lake Ontario) | Ontario | Fire while alongside | Burned out; many fatalities |
| 1959-06-24 | MV Abegweit (example record) | Ferry | Northumberland Strait | Prince Edward Island | Fire/engine-room incident (non-war) | Disabled; evacuated/assisted; later repaired |
| 1976-09-08 | MV Arctic Explorer (example record) | Cargo vessel | Off Labrador coast | Newfoundland and Labrador | Foundering in heavy weather | Lost at sea; limited survivors reported |
