# Bottled Water Brands and Measured pH (Comparison Table)

| Brand / Product | Water Type / Source | Treatment or Notable Features | Measured pH (approx.) |
| --- | --- | --- | --- |
| Fiji | Artesian aquifer (Fiji) | Naturally filtered through volcanic rock | 7.2 |
| Dasani | Purified (municipal source) | Reverse osmosis; minerals added for taste | 5.6 |
| Aquafina | Purified (municipal source) | Reverse osmosis | 5.8 |
| Deer Park | Spring water (USA) | Minimal processing | 6.4 |
| Poland Spring | Spring water (USA) | Minimal processing | 6.3 |
| Smartwater | Vapor-distilled | Electrolytes added | 7.0 |
| Core Hydration | Purified | Electrolytes/minerals added; marketed as balanced pH | 7.4 |
| Essentia | Purified | Ionized; electrolytes added | 9.0 |
| Perrier | Carbonated mineral water (France) | Naturally carbonated | 5.4 |
| San Pellegrino | Carbonated mineral water (Italy) | Naturally carbonated | 5.6 |
| VOSS | Artesian (Norway) | Minimal processing | 7.2 |
| Icelandic Glacial | Spring water (Iceland) | Naturally filtered | 8.2 |
