# Judgment of Paris ( wine )
> The results

| Rank | Grade | Wine | Vintage | Origin |
| --- | --- | --- | --- | --- |
| 1. | 17 | Château Haut-Brion | 1970 | France |
| 2. | 16 | Château Mouton-Rothschild | 1970 | France |
| 3. | 14 | Stag's Leap Wine Cellars | 1973 | USA |
| 3. | 14 | Clos Du Val Winery | 1972 | USA |
| 5. | 13 | Ridge Vineyards Monte Bello | 1971 | USA |
| 6. | 12 | Château Montrose | 1970 | France |
| 6. | 12 | Heitz Wine Cellars Martha's Vineyard | 1970 | USA |
| 8. | 10 | Château Leoville Las Cases | 1971 | France |
| 9. | 7 | Mayacamas Vineyards | 1971 | USA |
| 10. | 5 | Freemark Abbey Winery | 1969 | USA |
