# Biblical Baby Names (Given Names Only)  Meaning, Origin, and Gender

| Name | Gender | Meaning | Origin/Language | Biblical Association |
| --- | --- | --- | --- | --- |
| Abigail | Girl | My father's joy | Hebrew | Wife of King David (1 Samuel) |
| Benjamin | Boy | Son of the right hand | Hebrew | Son of Jacob; tribe of Benjamin |
| Daniel | Boy | God is my judge | Hebrew | Prophet in the Book of Daniel |
| Deborah | Girl | Bee | Hebrew | Judge and prophetess (Judges) |
| Elijah | Boy | My God is Yahweh | Hebrew | Prophet in 1–2 Kings |
| Esther | Girl | Star | Hebrew/Persian | Queen in the Book of Esther |
| Hannah | Girl | Favor; grace | Hebrew | Mother of Samuel (1 Samuel) |
| Isaiah | Boy | Salvation of the LORD | Hebrew | Prophet; Book of Isaiah |
| Micah | Boy | Who is like the LORD? | Hebrew | Prophet; Book of Micah |
| Ruth | Girl | Companion; friend | Hebrew | Heroine of the Book of Ruth |
| Samuel | Boy | Heard by God | Hebrew | Prophet and judge (1 Samuel) |
| Susanna | Girl | Lily | Hebrew/Aramaic | Jewish-Christian tradition (Susanna narrative) |
