# Greenfield Primary 2015–2016  Holiday Names and First Day (Missing Finish Dates)

| Period | First Day | Details |
| --- | --- | --- |
| Autumn Term | 07 Sep 2015 | Pupils return |
| Autumn Half-Term | 26 Oct 2015 | School closed week |
| Christmas Holidays | 21 Dec 2015 | Break begins |
| Spring Term | 05 Jan 2016 | Term resumes |
| Spring Half-Term | 15 Feb 2016 | School closed week |
| Easter Holidays | 25 Mar 2016 | Break begins |
| Summer Term | 11 Apr 2016 | Term resumes |
| Summer Half-Term | 30 May 2016 | School closed week |
| Summer Holidays | 20 Jul 2016 | End of academic year |
| Inset Day | 06 Sep 2015 | Staff only |
| Inset Day | 04 Jan 2016 | Staff only |
