# Hydrogen-Bond Geometry Table Referencing VSEPR Shapes and Measured Angles

| Hydrogen-bond pair | Central-atom VSEPR shape label | H···A distance (Å) | D–H···A angle (°) | Comment |
|---|---|---:|---:|---|
| HCN···HF | Linear | 1.72 | 179 | strong, near-linear |
| H2CO···HF | Trigonal planar | 1.86 | 132 | carbonyl acceptor |
| NH3···H2O | Trigonal pyramidal | 1.95 | 160 | lone-pair donation |
| H2O···HF | Bent | 1.58 | 174 | very strong H-bond |
| H2S···HF | Bent | 2.05 | 148 | weaker than water |
| CH3OH···H2O | Tetrahedral | 1.84 | 168 | alcohol donor/acceptor |
| HF···HF | Linear | 1.60 | 180 | chain formation |
| HCl···H2O | Bent | 2.10 | 170 | weak/variable |
| HCOOH···H2O | Trigonal planar | 1.70 | 175 | carboxylic acid interaction |
