# Prime Ministers of France (Party and parliamentary bloc categorization)

| No. | Name | Term start | Term end | Political Party | Parliamentary bloc |
| --- | --- | --- | --- | --- | --- |
| 1 | Léon Blum | 4 Jun 1936 | 22 Jun 1937 | SFIO | Popular Front |
| 2 | Édouard Daladier | 10 Apr 1938 | 21 Mar 1940 | Radical Party | Radical-Socialist |
| 3 | Georges Bidault | 24 Jun 1946 | 28 Nov 1946 | MRP | Christian-democratic |
| 4 | Pierre Mendès France | 18 Jun 1954 | 5 Feb 1955 | Radical Party | Centre-left |
| 5 | Michel Debré | 8 Jan 1959 | 14 Apr 1962 | UNR | Gaullist |
| 6 | Jacques Chirac | 27 May 1974 | 26 Aug 1976 | UDR | Gaullist |
| 7 | Laurent Fabius | 17 Jul 1984 | 20 Mar 1986 | PS | Socialist |
| 8 | Édouard Balladur | 29 Mar 1993 | 17 May 1995 | RPR | Right |
| 9 | Lionel Jospin | 2 Jun 1997 | 6 May 2002 | PS | Plural Left |
| 10 | Manuel Valls | 31 Mar 2014 | 6 Dec 2016 | PS | Socialist |
