# Super Smash Bros. Melee Tier List (Tournament-Oriented Grouping)

| Character | Tier | Typical competitive status |
| --- | --- | --- |
| Fox | S | Top-tier centerpiece pick |
| Falco | S | Top-tier with strong punish/pressure |
| Marth | S | Elite range and punish game |
| Sheik | A | Consistent, strong matchup spread |
| Captain Falcon | A | High mobility, strong punish but volatile |
| Peach | A | Defensive strength and strong punish |
| Jigglypuff | A | Edge-guard dominance, polarizing matchups |
| Ice Climbers | B | High reward but execution/consistency issues |
| Pikachu | B | Viable but less consistent vs top tiers |
| Samus | C | Strong zoning, generally disadvantaged vs elites |
| Luigi | C | Big punish potential, matchup dependent |
| Bowser | D | Struggles heavily in competitive settings |
