# Multi-Year State Income Tax Filing Deadlines (Return vs Extension Events)

| State | Tax Year | Filing Event Type | Date | Notes |
|---|---:|---|---|---|
| California | 2023 | Return due | 2024-04-15 | Standard individual return deadline |
| California | 2023 | Extension request due | 2024-04-15 | Extension form/payment timing |
| California | 2023 | Return due after extension | 2024-10-15 | Extended filing date |
| New York | 2023 | Return due | 2024-04-15 | Standard individual return deadline |
| New York | 2023 | Extension request due | 2024-04-15 | Extension must be filed by original due date |
| New York | 2023 | Return due after extension | 2024-10-15 | Extended filing date |
| Virginia | 2022 | Return due | 2023-05-01 | State-specific due date |
| Virginia | 2022 | Return due after extension | 2023-11-01 | Extended filing date |
| Missouri | 2022 | Return due | 2023-04-18 | Conforms to federal date in that year |
| Missouri | 2022 | Return due after extension | 2023-10-16 | Extended filing date |
| Georgia | 2021 | Return due | 2022-04-18 | Standard individual return deadline |
| Georgia | 2021 | Return due after extension | 2022-10-17 | Extended filing date |
