# Prostatitis Antibiotics  Key Adverse Effects and Precautions

| Antibiotic | Major adverse effects | Key precautions | Important monitoring | Food/administration tips |
| --- | --- | --- | --- | --- |
| Ciprofloxacin | Tendinopathy, QT prolongation | Avoid with history of tendon rupture | ECG if QT risk | Separate from calcium/iron supplements |
| Levofloxacin | CNS effects, dysglycemia | Caution in diabetes | Blood glucose | Avoid antacids around dosing |
| TMP-SMX | Rash, hyperkalemia | Caution in sulfa allergy | Potassium, creatinine | Maintain hydration |
| Doxycycline | Photosensitivity, esophagitis | Avoid in pregnancy | null routine | Take with water; remain upright |
| Azithromycin | QT prolongation | QT risk medications | ECG if high risk | Can take with or without food |
| Ceftriaxone | Biliary sludging | Neonates: caution | LFTs if prolonged | IM injection pain common |
| Fosfomycin | Diarrhea, headache | Caution in severe renal impairment | Renal function | Dissolve sachet in water |
| Amox-clav | Diarrhea, cholestatic hepatitis | Prior liver injury: caution | LFTs if prolonged | Take at start of meal |
| Gentamicin | Nephrotoxicity, ototoxicity | Avoid prolonged therapy when possible | Drug levels, creatinine | Ensure adequate hydration |
