# Minecraft Pocket Edition (MCPE Bedrock) Survival Servers and Ports

| Platform | Server Name | Address | Port | Mode |
| --- | --- | --- | --- | --- |
| MCPE/Bedrock | Cactus Survival PE | cactuspe.net | 19132 | Survival |
| MCPE/Bedrock | HarborSMP Bedrock | play.harborsmp.com | 19132 | Vanilla-ish |
| MCPE/Bedrock | IronPeak PE | ironpeak.pe.example | 19133 | Survival |
| MCPE/Bedrock | Lakeside Bedrock | lakesidebedrock.net | 19132 | Survival |
| MCPE/Bedrock | Redwood PE | redwoodpe.ddns.net | 19132 | Survival |
| MCPE/Bedrock | SimpleSurvival BR | simplesurvivalbr.com | 19132 | Survival |
| MCPE/Bedrock | NorthCraft Bedrock | northcraft.net | 19132 | Survival |
| MCPE/Bedrock | SunVale PE | sunvalepe.org | 19134 | Survival |
| MCPE/Bedrock | MistyMC Bedrock | mistymc.net | 19132 | Survival |
| MCPE/Bedrock | PebbleSMP BR | pebble.smp.example | 19132 | Survival |
