# Transgender and LGBT Characters in Film (Orientation Catalog Included)

| Character | Film | Orientation / Gender Identity | Year | Comment |
| --- | --- | --- | --- | --- |
| Dil | The Crying Game | Transgender woman | 1992 | Gender-identity-focused plot element |
| Bree Osbourn | Transamerica | Transgender woman | 2005 | Road movie centered on transition |
| Hedwig Robinson | Hedwig and the Angry Inch | Genderqueer | 2001 | Nonconforming identity, musical |
| Glen / Glenda Ray | Seed of Chucky | Transgender / genderfluid | 2004 | Horror-comedy portrayal |
| Bernadette Bassenger | The Adventures of Priscilla, Queen of the Desert | Transgender woman | 1994 | Part of drag/trans ensemble |
| Ennis Del Mar | Brokeback Mountain | Gay | 2005 | Orientation-only entry |
| Carol Aird | Carol | Lesbian | 2015 | Orientation-only entry |
| Elio Perlman | Call Me by Your Name | Bisexual (implied) | 2017 | Orientation-only entry |
| Simon Spier | Love, Simon | Gay | 2018 | Orientation-only entry |
