# NFL Player Team Affiliations (Roster Snapshot)

| Player | Position | Team (Franchise) | Conference | Notes |
| --- | --- | --- | --- | --- |
| Lamar Jackson | QB | Baltimore Ravens | AFC | Active starter |
| Derrick Henry | RB | Baltimore Ravens | AFC | Veteran RB |
| Patrick Mahomes | QB | Kansas City Chiefs | AFC | Team captain |
| Travis Kelce | TE | Kansas City Chiefs | AFC | Veteran starter |
| Josh Allen | QB | Buffalo Bills | AFC | Franchise QB |
| Stefon Diggs | WR | Houston Texans | AFC | Traded from BUF |
| Aaron Rodgers | QB | New York Jets | AFC | Veteran QB |
| Justin Jefferson | WR | Minnesota Vikings | NFC | Pro Bowl WR |
| Micah Parsons | LB | Dallas Cowboys | NFC | Defensive star |
| Nick Bosa | DE | San Francisco 49ers | NFC | Edge rusher |
