# Common Handgun Calibers vs Typical Bullet Diameter (Single-Projectile) — Inches and Millimeters

| Caliber / Cartridge designation | Typical bullet diameter (in) | Typical bullet diameter (mm) | Notes |
| --- | --- | --- | --- |
| .32 ACP (7.65×17mm) | 0.312 | 7.92 | Common European/US pocket pistol caliber |
| .380 ACP (9×17mm) | 0.355 | 9.02 | Same bullet diameter as most 9mm-class pistol bullets |
| 9×19mm Parabellum (9mm Luger) | 0.355 | 9.02 | Standard service pistol diameter |
| .357 Magnum | 0.357 | 9.07 | Revolver; uses .357" bullets despite “.38” family naming |
| .38 Special | 0.357 | 9.07 | Same projectile diameter as .357 Magnum |
| .40 S&W | 0.400 | 10.16 | Typical modern service pistol diameter |
| 10mm Auto | 0.400 | 10.16 | Same nominal projectile diameter as .40 S&W |
| .44 Magnum | 0.429 | 10.90 | “.44” name, but typical bullet is .429" |
| .45 ACP | 0.451 | 11.46 | Typical modern .45 Auto bullet diameter |
| .50 AE | 0.500 | 12.70 | Large-bore semi-auto pistol cartridge |
