# Adobe Training Catalog  Courses Mapped to Adobe Applications

| Course title | Primary Adobe app | Delivery format | Provider | Related distribution |
| --- | --- | --- | --- | --- |
| Beginner Retouching | Photoshop | Video course | LinkedIn Learning | Creative Cloud app |
| Vector Illustration Essentials | Illustrator | Online class | Coursera | Creative Cloud app |
| Editorial Layout Bootcamp | InDesign | Workshop | Local training partner | Creative Cloud app |
| Motion Graphics Foundations | After Effects | Video course | Pluralsight | Creative Cloud app |
| Video Editing for Social | Premiere Pro | Video course | Udemy | Creative Cloud app |
| PDF Forms and Signatures | Acrobat | Webinar | Adobe Education Exchange | Acrobat subscription |
| UI Design Basics | XD | Video course | LinkedIn Learning | Creative Cloud app |
| Web Prototyping | Dreamweaver | Book | O'Reilly | Creative Cloud app |
| Photo Management | Lightroom | Video course | Skillshare | Creative Cloud app |
| Color Workflows | Bridge | Tutorial series | YouTube channel | Creative Cloud utility |
