# Manitoba New Democratic Party
> Election results

| Year | NDP Leader | Seats won | Seat change | Seats place | Popular vote | % of popular vote | Result |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1962 | Paulley | 7 / 57 | 7 | 3rd |  | 15.20% | PC majority |
| 1966 | Paulley | 11 / 57 | 4 | 3rd | 130,102 | 23.14% | PC majority |
| 1969 | Schreyer | 28 / 57 | 17 | 1st | 128,080 | 38.27% | NDP minority |
| 1973 | Schreyer | 31 / 57 | 3 | 1st | 197,585 | 42.31% | NDP Majority |
| 1977 | Schreyer | 23 / 57 | 8 | 2nd | 188,124 | 38.62% | PC majority |
| 1981 | Pawley | 34 / 57 | 11 | 1st | 228,784 | 47.38% | NDP Majority |
| 1986 | Pawley | 30 / 57 | 4 | 1st | 198,261 | 41.50% | NDP Majority |
| 1988 | Doer | 12 / 57 | 18 | 3rd | 126,954 | 23.62% | PC minority |
| 1990 | Doer | 20 / 57 | 8 | 2nd | 141,328 | 28.80% | PC majority |
| 1995 | Doer | 23 / 57 | 3 | 2nd | 165,489 | 32.81% | PC majority |
| 1999 | Doer | 32 / 57 | 9 | 1st | 219,679 | 44.51% | NDP Majority |
| 2003 | Doer | 35 / 57 | 3 | 1st | 195,425 | 49.47% | NDP Majority |
| 2007 | Doer | 36 / 57 | 1 | 1st | 200,834 | 47.73% | NDP Majority |
| 2011 | Selinger | 37 / 57 | 1 | 1st | 199,069 | 46.16% | NDP Majority |
| 2016 | Selinger | 14 / 57 | 23 | 2nd | 112,562 | 25.74% | PC majority |
