# Household Surname Counts in West Connacht (1911 Census Abstract)

| County | Parish | Surname | Households | Notes |
| --- | --- | --- | ---: | --- |
| Galway | Oughterard | Joyce | 42 | Largest cluster in townlands near Lough Corrib |
| Galway | Oughterard | Flaherty | 35 | Coastal-origin families recorded inland |
| Galway | Oughterard | Walsh | 28 | Common occupational surname |
| Galway | Oughterard | Kelly | 24 | Appears across multiple townlands |
| Galway | Oughterard | Burke | 19 | Norman-origin name prevalent |
| Galway | Oughterard | Moran | 17 | Several unrelated households |
| Galway | Oughterard | Conneely | 13 | Often spelled Connelly in other records |
| Galway | Oughterard | O'Malley | 9 | Smaller presence than coastal parishes |
| Galway | Oughterard | Healy | 7 | Minor cluster |
| Galway | Oughterard | Doherty | 6 | Few households in the parish |
| Galway | Oughterard | McDonagh | 6 | Concentrated in one district |
| Galway | Oughterard | Hynes | 5 | Sporadic entries |
