# Marcella (TV Series 2016– ) — Cast with Writing Directing & Production Credits

| Category | Name | Role / Credit | Scope |
|---|---|---|---|
| Cast | Anna Friel | Marcella Backland | 8 episodes (2016) |
| Cast | Nicholas Pinnock | Jason Backland | 8 episodes (2016) |
| Cast | Sinéad Cusack | Sylvie Gibson | 8 episodes (2016) |
| Cast | Nina Sosanya | DCI Laura Porter | 8 episodes (2016) |
| Cast | Harry Lloyd | Henry Gibson | 8 episodes (2016) |
| Writing | Hans Rosenfeldt | Creator / Writer | Series |
| Directing | Charles Martin | Director | Selected episodes |
| Production | Nicola Shindler | Executive Producer | Series |
| Art Department | Tom Burton | Production Designer | Series |
| Editorial | Chris Gill | Editor | Selected episodes |
