# CPT Reference — Spine MRI (Contrast Not Specified)

| Spine Region | CPT Code | Exam Description (generic) | Notes |
| --- | --- | --- | --- |
| Cervical spine | 72141 | MRI cervical spine | Contrast not stated |
| Cervical spine | 72142 | MRI cervical spine | Contrast not stated |
| Cervical spine | 72156 | MRI cervical spine | Contrast not stated |
| Thoracic spine | 72146 | MRI thoracic spine | Contrast not stated |
| Thoracic spine | 72147 | MRI thoracic spine | Contrast not stated |
| Thoracic spine | 72157 | MRI thoracic spine | Contrast not stated |
| Lumbar spine | 72148 | MRI lumbar spine | Contrast not stated |
| Lumbar spine | 72149 | MRI lumbar spine | Contrast not stated |
| Lumbar spine | 72158 | MRI lumbar spine | Contrast not stated |
| Entire spine | 72100 | Spine imaging (listed as MRI) | Generic spine label |
| Sacrum/coccyx | 72195 | MRI sacrum/coccyx | Contrast not stated |
