# Whaling Disaster of 1871
> Lost whaling vessels

| Vessel | Homeport | Captain [7] | Notes |
| --- | --- | --- | --- |
| Bark Roman | New Bedford | Jared Jernegan? | Crushed in the ice Sept. 7, 1871. [1] |
| Bark Concordia | New Bedford | Robert Jones | Abandoned and lost. Wreck burned by local Inuit. [7] [8] |
| Ship Gay Head | New Bedford | William H. Kelley | Abandoned and lost. Wreck burned by local Inuit. [7] [8] |
| Bark George | New Bedford | Abraham Osborn | Abandoned and lost. |
| Ship John Wells | New Bedford | Aaron Dean | Abandoned and lost. |
| Bark Massachusetts | New Bedford | West Mitchell | Abandoned and wrecked. One lone sailor remained with the wreck through the winter. |
| Bark J.D. Thompson | New London, Conn. | Capt. Allen | Abandoned and lost. |
| Ship Contest | New Bedford | Leander C. Owen | Abandoned and lost. |
| Bark Emily Morgan | New Bedford | Benjamin Dexter | Abandoned and lost. (Wreck later found ashore.) [7] |
| Ship Champion | Edgartown, Mass. | Henry Pease | Abandoned and lost. (Wreck later found ashore.) [7] |
| Bark Henry Taber | New Bedford | Timothy C. Packard | Abandoned and lost. |
| Bark Elizabeth Swift | New Bedford | George W. Bliven | Abandoned and lost. |
| Ship Florida | New Bedford | D. R. Fraser | Abandoned and lost. Wreck burned by local Inuit. [7] [8] |
| Bark Oliver Crocker | New Bedford | James H. Fisher | Abandoned and lost. |
| Bark Navy | New Bedford | George F. Bouldry | Abandoned and lost. |
| Ship Reindeer | New Bedford | B. F. Loveland | Abandoned and lost. (Sunken wreck found, 1872.) [8] |
| Bark Seneca | New Bedford | Edmund Kelley | Abandoned and lost. (Beached wreck found, 1872.) [7] [8] |
| Bark George Howland | New Bedford | James H. Knowles | Abandoned and lost. |
| Bark Fanny | New Bedford | Lewis W. Williams | Abandoned and lost. |
| Bark Carlotta | San Francisco, Calif. | E. Everett Smith | Abandoned and lost. |
| Bark Paiea or Paia | Honolulu, Hawaii |  | Abandoned and lost. |
| Bark Monticello | New London, Conn. | Thomas W. Williams | Abandoned and lost. |
| Brig Kohola | Honolulu, Hawaii | Alexander Almy | Abandoned and lost. (Wreck later found ashore.) [7] |
| Bark Eugenia | New Bedford | Daniel B. Nye | Abandoned and lost. |
| Ship Julian | Honolulu, Hawaii | John Heppingstone | Abandoned and lost. |
| Bark Awashonks | New Bedford | Ariel Norton | Crushed in the ice Sept. 8, 1871. [1] |
| Bark Thomas Dickason | New Bedford | Valentine Lewis | Abandoned and lost. (Wreck found, 1872.) [7] [8] |
| Bark Minerva | New Bedford | Hezekiah Allen | Abandoned. Discovered intact in 1872; manned and taken south. [6] |
| Ship William Rotch | New Bedford | Capt. Cromwell Morslander | Abandoned and lost. |
| Brig Victoria | San Francisco | Capt. Redfield | Abandoned and lost. |
| Ship Mary | Edgartown | Capt. Edward P. Herendeen | Abandoned and lost. |
| Brig Comet | Honolulu | Capt. Sylvia (Joseph D. Sylvia?) | Crushed in the ice, Sept. 2, 1871 [1] |
