# High-Fiber Foods (Fiber per 100 g) — Common Produce, Grains, and Legumes

| Category | Food | Fiber (g per 100 g) | Notes |
|---|---|---:|---|
| Legumes | Lentils, cooked | 7.9 | cooked, drained |
| Legumes | Chickpeas, cooked | 7.6 | cooked, drained |
| Legumes | Black beans, cooked | 8.7 | cooked, drained |
| Grains | Oats, dry | 10.6 | dry weight |
| Vegetables | Artichoke, boiled | 5.4 | edible portion |
| Fruits | Avocado, raw | 6.7 | edible portion |
| Seeds | Chia seeds | 34.4 | very dense |
| Nuts | Almonds | 12.5 | raw |
| Berries | Raspberries | 6.5 | raw |
